w_out,LCOH,LCOH_i
2423.145674,0.029599226,0.633469536
6021.332411,0.015933261,0.340996604
1398.438385,0.064519554,1.380818926
362.8121222,0.111052488,2.376696171
1494.265451,0.021917254,0.469063354
1687.172718,0.014452341,0.309302606
1309.156475,0.067313312,1.440609693
1407.639535,0.047053848,1.00702562
1179.262996,0.039780481,0.851364229
3787.027274,0.012274094,0.262684717
7589.779688,0.008885702,0.190167857
6839.030076,0.008611353,0.184296367
3512.752343,0.015528003,0.332323439
932.4582398,0.04543641,0.972409931
4546.492834,0.020920991,0.447741776
1035.265245,0.079717587,1.706080504
4577.152747,0.013774409,0.294793799
836.2557721,0.022586448,0.483385168
1416.70842,0.065423541,1.400165653
